제목,브랜드,방,가격
슬리퍼 쉐어하우스,건대점 Room C,#여성전용 #셰어하우스,84 / 37만원 (2인실)
Calm&Mood,방배 23호점 Room410,#여성전용 #셰어하우스,200 / 38만원 (2인실)
단미하우스,까치산역점 Room C,#여성전용 #셰어하우스,62 / 31만원 (2인실)
율 하우스,서울대입구역점 Room B,#여성전용 #셰어하우스,104 / 52만원 (1인실)
꼬므,대림역 : 1호점 Room B,#여성전용 #셰어하우스,90 / 43만원 (2인실)
아이엠 쉐어하우스,서울대입구역점 Room A,#여성전용 #셰어하우스,100 / 33만원 (3인실)
동네친구,6호점 C 2room,#여성전용 #셰어하우스,72 / 36만원 (2인실)
T house,방배점 Room C,#남성전용 #셰어하우스,80 / 35만원 (3인실)
도란도란하우스,신대방점 1인실[큰방],#여성전용 #셰어하우스,100 / 43만원 (1인실)
home 601,home601_강남 o룸,#여성전용 #셰어하우스,1000 / 50만원 (4인실)
슈니하우스,건대3호점 3인실,#여성전용 #셰어하우스,50 / 33만원 (3인실)
쉐어필링스,서울대입구역점 1인실 작은방,#남성전용 #셰어하우스,200 / 48만원 (1인실)
자몽 셰어하우스,군자점 301호,#여성전용 #셰어하우스,300 / 38만원 (1인실)
우주,63호점 B방,#여성전용 #셰어하우스,108 / 46만원 (1인실)
카페인하우스,사가정역점(남성전용층) Room C,#남성전용 #셰어하우스,76 / 38만원 (2인실)
카페인하우스,사가정역점(여성전용층) Room E,#여성전용 #셰어하우스,96 / 48만원 (1인실)
품안의 새,나르샤_신림역 2인실,#여성전용 #셰어하우스,90 / 45만원 (2인실)
하품 (하우스 꿈을 품다),1호점 Burch,#여성전용 #셰어하우스,1000 / 59만원 (1인실)
원앤원하우스,건대_세종대점 Room A,#여성전용 #셰어하우스,150 / 49만원 (1인실)
동네친구,9호점 C 2room,#여성전용 #셰어하우스,84 / 42만원 (2인실)
함께꿈꾸는마을,군자대공원 Room B,#여성전용 #셰어하우스,74 / 37만원 (2인실)
동네친구,7호점 C 2room,#여성전용 #셰어하우스,72 / 36만원 (2인실)
우주,83호점 Room E,#여성전용 #셰어하우스,108 / 46만원 (1인실)
우주,82호점 Room C,#남성전용 #셰어하우스,88 / 36만원 (1인실)
우주,84호점 Room A,#여성전용 #셰어하우스,108 / 46만원 (1인실)
젤리 쉐어하우스,봉천점 room B,#여성전용 #셰어하우스,600 / 39만원 (1인실)
Little brown House,신림점 2인실,#여성전용 #셰어하우스,60 / 37만원 (2인실)
(남성전용)라임 스페이스,역삼점 Room B,#남성전용 #셰어하우스,50 / 52만원 (1인실)
MOVHOUSE,강남DELUXE점 404,#여성전용 #셰어하우스,150 / 53만원 (1인실)
도란도란하우스,사당점 1인실[작은방],#여성전용 #셰어하우스,100 / 45만원 (1인실)
잠자리,서울대입구 : 1호점 Room C,#남성전용 #셰어하우스,84 / 42만원 (2인실)
팸하우스,건대 2호점 Room A,#여성전용 #셰어하우스,100 / 43만원 (2인실)
팸하우스,건대 3호점 B ROOM,#여성전용 #셰어하우스,100 / 40만원 (2인실)
이너프하우스,사당점 Room A,#여성전용 #셰어하우스,100 / 50만원 (1인실)
오아시스 쉐어하우스,건대 2호점 Room A,#여성전용 #셰어하우스,150 / 55만원 (2인실)
앤즈하우스,서울대입구역1 Room A,#여성전용 #셰어하우스,100 / 50만원 (1인실)
잠자리,낙성대역 : 20호점 Room C,#여성전용 #셰어하우스,94 / 47만원 (1인실)
동네친구,1호점 Room C,#여성전용 #셰어하우스,80 / 40만원 (2인실)
동네친구,2호점 Room C,#여성전용 #셰어하우스,70 / 35만원 (2인실)
동네친구,5호점 C 3room,#여성전용 #셰어하우스,72 / 36만원 (3인실)
No.1 쉐어하우스,삼성중앙역점 3인실,#남성전용 #셰어하우스,60 / 33만원 (3인실)
젤리 쉐어하우스,역삼점 room A,#여성전용 #셰어하우스,600 / 31만원 (2인실)
휴애락,건대점 애2nd_벙커1인실,#여성전용 #셰어하우스,150 / 53만원 (1인실)
Sharehouse Cine,루프탑 건대점 4인실 DT룸,#여성전용 #셰어하우스,70 / 34만원 (4인실)
쉐어하우스 까사,사당역 3호점 ROOM B,#여성전용 #셰어하우스,100 / 40만원 (2인실)
쉐어하우스 까사,사당역 2호점 ROOM C,#여성전용 #셰어하우스,100 / 37만원 (2인실)
잠자리,신대방 : 3호점 Room C,#여성전용 #셰어하우스,66 / 33만원 (2인실)
편안한家 쉐어하우스,자양점 Room C,#여성전용 #셰어하우스,100 / 36만원 (2인실)
핀휠 쉐어하우스,대림점 3인실,#남성전용 #셰어하우스,80 / 31만원 (3인실)
팸하우스,건대 4호점 A ROOM,#남성전용 #셰어하우스,100 / 38만원 (1인실)
팸하우스,건대 1호점 Room C,#여성전용 #셰어하우스,100 / 38만원 (2인실)
Singles ( 싱글즈 ),강남하우스 A룸,#여성전용 #셰어하우스,150 / 52만원 (4인실)
잠자리,구로디지털단지 : 12호점 Room C,#여성전용 #셰어하우스,60 / 30만원 (1인실)
바다유,7호 서울대입구역점 Room C,#여성전용 #셰어하우스,90 / 45만원 (1인실)
쉐어니도(sharenido),강남 20도 B ROOM,#여성전용 #셰어하우스,80 / 38만원 (2인실)
홈트리,신도림점 Root room,#여성전용 #셰어하우스,60 / 33만원 (2인실)
양드레하우스,군자1호점 1A,#여성전용 #셰어하우스,100 / 48만원 (1인실)
Sally's House,강남 서초파라곤 A룸,#여성전용 #셰어하우스,100 / 28만원 (4인실)
강남 베타쉐어하우스,강남역점 Room A,#여성전용 #셰어하우스,100 / 33만원 (4인실)
Sally's House,강남역점 Room A,#여성전용 #셰어하우스,100 / 38만원 (3인실)
복덕방,역삼2호점- 강남역 2인실,#여성전용 #셰어하우스,32 / 32만원 (2인실)
순 스테이,구로디지털단지 1호점 1인실(1),#여성전용 #셰어하우스,90 / 40만원 (1인실)
순 스테이,구로디지털단지 2호점 2인실,#여성전용 #셰어하우스,74 / 31만원 (2인실)
복덕방,역삼1호점-선릉역 싱글룸-중간방2,#여성전용 #셰어하우스,42 / 42만원 (1인실)
동화,구디점 2인실(벙커침대+복층구조),#여성전용 #셰어하우스,100 / 33만원 (2인실)
달달 쉐어하우스,삼성중앙역점 Room B,#여성전용 #셰어하우스,76 / 38만원 (2인실)
피리하우스,낙성대점 Room C,#여성전용 #셰어하우스,72 / 36만원 (2인실)
잠자리,구로디지털단지 : 13호점 Room C,#남성전용 #셰어하우스,70 / 35만원 (2인실)
바다유,2호 삼성중앙역점 Room C,#여성전용 #셰어하우스,70 / 36만원 (2인실)
채움 쉐어하우스,강남역 2호점 1인실,#여성전용 #셰어하우스,100 / 51만원 (1인실)
채움 쉐어하우스,교대/강남역 1호점 4인실,#여성전용 #셰어하우스,80 / 29만원 (4인실)
우주,43호점 Room D,#여성전용 #셰어하우스,106 / 45만원 (2인실)
오아시스 쉐어하우스,낙성대역 4호점 베이스캠프C,#여성전용 #셰어하우스,150 / 29만원 (4인실)
오아시스 쉐어하우스,낙성대역 3호점 Room C,#여성전용 #셰어하우스,150 / 28만원 (4인실)
오아시스 쉐어하우스,낙성대역점 5호점 베이스캠프C,#여성전용 #셰어하우스,150 / 28만원 (4인실)
동네친구,11호점 C 2room,#여성전용 #셰어하우스,300 / 43만원 (2인실)
청청,구디역점 중간방 Room B,#남성전용 #셰어하우스,110 / 55만원 (1인실)
슈니하우스,삼성중앙역점 3인실,#여성전용 #셰어하우스,78 / 39만원 (3인실)
팸하우스,사당점 Room D,#여성전용 #셰어하우스,100 / 41만원 (2인실)
잠자리,구로디지털단지 : 7호점 Room C,#여성전용 #셰어하우스,80 / 40만원 (2인실)
벽난로 쉐어하우스,강남코엑스점 Room C (1인가능),#남성전용 #셰어하우스,80 / 40만원 (2인실)
가가호호 쉐어하우스,관악점 베이직 (2인),#남성전용 #셰어하우스,70 / 33만원 (2인실)
자몽 셰어하우스,고척동점 204호,#여성전용 #셰어하우스,300 / 30만원 (1인실)
레미하우스,강남점 Room C,#여성전용 #셰어하우스,100 / 35만원 (2인실)
잠자리,신림 대학동 : 21호점 Room C,#남성전용 #셰어하우스,74 / 37만원 (1인실)
복덕방,강남세브란스점(뱅뱅사거리) 2층 중간 1인실,#여성전용 #셰어하우스,100 / 53만원 (1인실)
복덕방,세브란스사거리점 2인실,#여성전용 #셰어하우스,90 / 45만원 (2인실)
복덕방,대치동 선릉역점 1층 2인실 B,#여성전용 #셰어하우스,100 / 45만원 (2인실)
앤스테이블,대치 301-1호,#남성전용 #셰어하우스,4000 / 47만원 (1인실)
쉐어필링스,선릉역지점 1인실 작은 방,#여성전용 #셰어하우스,100 / 44만원 (1인실)
팸하우스,가산디지털단지점 ROOM D,#여성전용 #셰어하우스,100 / 35만원 (2인실)
팸하우스,매봉1호점 Room A,#여성전용 #셰어하우스,100 / 45만원 (1인실)
팸하우스,매봉 2호점 Room C,#여성전용 #셰어하우스,100 / 33만원 (2인실)
부천 이야기쉐어하우스,1호 고강점(서서울공원) 1인실(소),#남성전용 #셰어하우스,70 / 30만원 (1인실)
라다팰리스,사회적주택(개봉동) 202호-1,#성별무관 #셰어하우스,300 / 29만원 (1인실)
Calm&Mood,온수 17호점 Room a102,#남성전용 #셰어하우스,100 / 44만원 (1인실)
부천 이야기쉐어하우스,2호 원종점(원종사거리) 1인실B,#성별무관 #셰어하우스,70 / 35만원 (1인실)
모니카 하우스,잠실2호점 그레이룸,#여성전용 #셰어하우스,100 / 53만원 (1인실)
썸앤썸 쉐어하우스,삼전점 룸1,#남성전용 #셰어하우스,100 / 50만원 (1인실)
모니카 하우스,잠실역점 모던룸,#여성전용 #셰어하우스,100 / 55만원 (1인실)
로이허브,천호점 3호 라인,#여성전용 #셰어하우스,60 / 60만원 (1인실)
모니카 하우스,잠실3호점 미니룸,#여성전용 #셰어하우스,100 / 46만원 (1인실)
바다,암사동집 : 1층 103호,#여성전용 #셰어하우스,100 / 35만원 (1인실)
모던 하우스,암사역점 Room 401,#여성전용 #셰어하우스,200 / 34만원 (1인실)
바다,암사동집 : 2층 203호,#여성전용 #셰어하우스,100 / 37만원 (1인실)
모던 하우스,천호점 103호,#여성전용 #셰어하우스,200 / 32만원 (1인실)
모니카 하우스,잠실4호점 빈티지룸,#여성전용 #셰어하우스,100 / 60만원 (1인실)
몽리(MONLIT),석촌점 개인실 B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
원앤원하우스,강동역 2호점 Room C,#여성전용 #셰어하우스,200 / 31만원 (2인실)
Sharehouse Cine,오금역점 2인실 Standard,#여성전용 #셰어하우스,80 / 36만원 (2인실)
함께꿈꾸는마을,송파문정마을 ROOM D,#여성전용 #셰어하우스,80 / 40만원 (2인실)
쉐어하우스 cloud9,킨텍스 대화역점 ROOM 2,#성별무관 #셰어하우스,150 / 40만원 (1인실)
Blessing House,대화 킨텍스점 AB ROOM,#여성전용 #셰어하우스,70 / 35만원 (2인실)
쉐어하우스 잎,부천역점 1인실A,#성별무관 #셰어하우스,70 / 35만원 (1인실)
플래닛디 하우스,플래닛디 하우스 1인실,#여성전용 #셰어하우스,80 / 40만원 (1인실)
공감,부평 굴포천역 2호점 D룸 복층1인실,#여성전용 #셰어하우스,50 / 23만원 (1인실)
공감,부평시장역점 Room D,#여성전용 #셰어하우스,50 / 23만원 (1인실)
로라 쉐어하우스,부평구청역점 B룸,#여성전용 #셰어하우스,80 / 32만원 (1인실)
로라 쉐어하우스,부평시장역점 C룸,#여성전용 #셰어하우스,80 / 33만원 (1인실)
레몬트리 하우스,간석오거리점 2인실A,#여성전용 #셰어하우스,50 / 27만원 (2인실)
잠자리,주안역 : 18호점 Room B,#여성전용 #셰어하우스,70 / 35만원 (1인실)
쉐어하우스 봄,주안 1호점 1인실,#여성전용 #셰어하우스,84 / 37만원 (1인실)
베프 쉐어하우스,주안역점 Room C,#여성전용 #셰어하우스,50 / 25만원 (2인실)
레몬,1호점 주안역점 레몬트리방,#여성전용 #셰어하우스,60 / 30만원 (2인실)
인타운 하우스,인천대점(도원역) Room 203,#여성전용 #셰어하우스,100 / 30만원 (1인실)
세계로 하우스,종로부암점 B room,#성별무관 #셰어하우스,60 / 65만원 (2인실)
다락,홍오하우스 Room A,#성별무관 #셰어하우스,50 / 39만원 (1인실)
우주,89호점 Room D,#여성전용 #셰어하우스,96 / 40만원 (2인실)
다락,홍원하우스 Room D,#성별무관 #셰어하우스,50 / 39만원 (1인실)
Calm&Mood,홍제 18호점 Room101,#여성전용 #셰어하우스,100 / 44만원 (1인실)
자몽 셰어하우스,연신내점 4층 Room 12,#여성전용 #셰어하우스,300 / 28만원 (1인실)
블랑 쉐어하우스,응암점 2인실A,#여성전용 #셰어하우스,80 / 35만원 (2인실)
Calm&Mood,DMC(구산) 22호점 Room201,#여성전용 #셰어하우스,200 / 54만원 (1인실)
플레몬 쉐어하우스,29호점(혜화대학로점) ROOM7,#성별무관 #셰어하우스,50 / 52만원 (1인실)
동거동락,33A호점 명지대 A ROOM,#남성전용 #셰어하우스,105 / 44만원 (1인실)
따또 쉐어하우스,연희점 원룸형 1인A,#여성전용 #셰어하우스,100 / 54만원 (1인실)
MK코하우징,연희점 2층 ROOM G,#여성전용 #셰어하우스,100 / 50만원 (1인실)
공상가,연세 1호점 2F / Room 202-1,#여성전용 #셰어하우스,112 / 56만원 (1인실)
위아영 쉐어하우스,아현점 Room A,#여성전용 #셰어하우스,100 / 50만원 (1인실)
공상가,연세 2호점 2F / Room 202-2,#여성전용 #셰어하우스,108 / 54만원 (1인실)
Calm&Mood,연희 1호점 Room105,#여성전용 #셰어하우스,100 / 33만원 (2인실)
플레몬 쉐어하우스,13호점 (연희동) 302호,#성별무관 #셰어하우스,50 / 30만원 (2인실)
마주봄 쉐어하우스,혜화 6호점 A-ROOM,#여성전용 #셰어하우스,100 / 52만원 (1인실)
바다,연남동 : 1호 E Room,#여성전용 #셰어하우스,110 / 55만원 (1인실)
우주,50호점 Room D,#여성전용 #셰어하우스,95 / 39만원 (2인실)
서로가 쉐어하우스,충정로점 Room D,#여성전용 #셰어하우스,50 / 45만원 (2인실)
Calm&Mood,혜화 20호점 Room102,#여성전용 #셰어하우스,100 / 35만원 (2인실)
자몽 셰어하우스,대학로점 502호,#여성전용 #셰어하우스,300 / 32만원 (2인실)
쉐어하우스 보통,아현점 Room A,#여성전용 #셰어하우스,106 / 53만원 (1인실)
세이프헤븐,DMC점 Room A,#여성전용 #셰어하우스,100 / 39만원 (1인실)
에덴 하우스,홍대점 Green Rm,#여성전용 #셰어하우스,60 / 30만원 (3인실)
쉐어니도(sharenido),홍대신촌 14도 B ROOM,#여성전용 #셰어하우스,100 / 40만원 (1인실)
다락,허밍하우스 큰1인실,#성별무관 #셰어하우스,50 / 43만원 (1인실)
굿밤하우스,홍대입구점 2층 트윈룸,#성별무관 #셰어하우스,10 / 45만원 (1인실)
프렌즈,연남점 Room D,#여성전용 #셰어하우스,90 / 48만원 (2인실)
쉐어니도(sharenido),홍대신촌 9도 C ROOM,#남성전용 #셰어하우스,80 / 37만원 (1인실)
우주,94호점 Room G,#남성전용 #셰어하우스,102 / 43만원 (1인실)
우주,93호점 Room F,#여성전용 #셰어하우스,104 / 44만원 (1인실)
우주,95호점 Room C,#여성전용 #셰어하우스,104 / 44만원 (1인실)
커먼타운,센트럴 261 407,#여성전용 #셰어하우스,300 / 55만원 (1인실)
우주,62호점 Room B,#여성전용 #셰어하우스,120 / 52만원 (1인실)
핀휠 쉐어하우스,신촌점 1인실,#여성전용 #셰어하우스,90 / 43만원 (1인실)
코방,길음역점 Room C,#여성전용 #셰어하우스,110 / 48만원 (1인실)
호영이네 하우스,창신역점 Room D,#여성전용 #셰어하우스,80 / 38만원 (3인실)
하늘,수유역2호점 Room B,#여성전용 #셰어하우스,50 / 42만원 (1인실)
우주,12호점 Room A,#여성전용 #셰어하우스,111 / 48만원 (1인실)
오희,고양점 Room D,#여성전용 #셰어하우스,100 / 30만원 (3인실)
하모하우스,서강대점_여성 Room C,#여성전용 #셰어하우스,100 / 35만원 (3인실)
은행나무 쉐어하우스,홍대점 Room 101,#여성전용 #셰어하우스,0 / 40만원 (2인실)
Calm&Mood,숙대두번째 16호점 Room102,#여성전용 #셰어하우스,100 / 45만원 (1인실)
팸하우스,충무로점 Room I,#여성전용 #셰어하우스,100 / 40만원 (2인실)
자다,메리골드 후암2호점 Room D,#여성전용 #셰어하우스,84 / 42만원 (2인실)
Calm&Mood,숙대세번째 19호점 Room101,#여성전용 #셰어하우스,100 / 49만원 (1인실)
바운드쉐어,망원한강점 1인실 B,#여성전용 #셰어하우스,100 / 55만원 (1인실)
바운드쉐어,망원중앙점 1인실C,#여성전용 #셰어하우스,100 / 53만원 (1인실)
MR. HOMES,홈즈스튜디오 원효로점 403호,#여성전용 #셰어하우스,60 / 60만원 (1인실)
우주,73호점 Room A,#여성전용 #셰어하우스,96 / 40만원 (2인실)
동거동락,34호점 약수역점 D ROOM,#여성전용 #셰어하우스,119 / 49만원 (1인실)
워크 앤 리브,이태원 2호점 E1,#여성전용 #셰어하우스,132 / 58만원 (1인실)
우주,88호점 Room D,#여성전용 #셰어하우스,112 / 49만원 (1인실)
하늘,고대 2호점 Room A,#여성전용 #셰어하우스,50 / 45만원 (1인실)
We Live,당산 2호점 이태리,#여성전용 #셰어하우스,100 / 53만원 (1인실)
자다,패밀리 한남점 Room A,#여성전용 #셰어하우스,64 / 32만원 (3인실)
We Live,당산점 런던,#여성전용 #셰어하우스,100 / 53만원 (1인실)
쉐어하우스 청춘愛(애),여의도점 3인실,#여성전용 #셰어하우스,100 / 33만원 (3인실)
자몽 셰어하우스,노량진점 1층 Room A,#여성전용 #셰어하우스,300 / 45만원 (1인실)
슬리퍼 쉐어하우스,신이문점 Room C,#여성전용 #셰어하우스,104 / 47만원 (1인실)
잠자리,영등포구청 : 17호점 Room D,#남성전용 #셰어하우스,84 / 42만원 (1인실)
푸른언덕,중앙대점 Room B,#여성전용 #셰어하우스,100 / 45만원 (2인실)
바다,외대 앞 집 Room D (1인실),#여성전용 #셰어하우스,92 / 46만원 (1인실)
다락,주아하우스 #1 confor,#성별무관 #셰어하우스,50 / 35만원 (1인실)
세이프헤븐,상도점 Room 201,#여성전용 #셰어하우스,100 / 47만원 (1인실)
스펙트럼 하우스,신사점 3층 303 Green,#여성전용 #셰어하우스,132 / 56만원 (1인실)
스펙트럼 하우스,신사점 2층 203 Yellow,#여성전용 #셰어하우스,186 / 83만원 (1인실)
여기쯤 쉐어하우스,여기쯤 신사1호점 B룸,#여성전용 #셰어하우스,80 / 35만원 (2인실)
쉐어하우스 더뮤즈,신사역 가로수길점 Room B,#여성전용 #셰어하우스,76 / 38만원 (4인실)
우주,46호점 Room A,#성별무관 #셰어하우스,112 / 48만원 (1인실)
우주,37호점 Room B,#여성전용 #셰어하우스,92 / 38만원 (3인실)
우주,38호점 Room E,#여성전용 #셰어하우스,72 / 28만원 (3인실)
낭만,양천향교역점 1층 102호,#남성전용 #셰어하우스,120 / 40만원 (1인실)
가로수 쉐어하우스,신사역점 402호,#여성전용 #셰어하우스,113 / 45만원 (2인실)
Singles ( 싱글즈 ),신사점 Room A,#여성전용 #셰어하우스,200 / 65만원 (1인실)
우주,96호점 Room C,#여성전용 #셰어하우스,112 / 48만원 (1인실)
소행주 특집,장안동점 Room B,#여성전용 #셰어하우스,150 / 33만원 (1인실)
장안생활,장한평점 (장안동) C타입 722호,#성별무관 #셰어하우스,1000 / 47만원 (1인실)
자몽 셰어하우스,상도점 102호,#여성전용 #셰어하우스,300 / 42만원 (1인실)
쉐어하우스 여행가,관악점 Room B,#여성전용 #셰어하우스,80 / 32만원 (3인실)
쉐어반,논현역점 Room B2,#여성전용 #셰어하우스,110 / 55만원 (1인실)
잠자리,논현역 : 26호점 Room D,#여성전용 #셰어하우스,98 / 49만원 (1인실)
테라스107,테라스107 Room 7,#여성전용 #셰어하우스,100 / 80만원 (1인실)
강남다방 쉐어하우스,신논현점 Room B,#여성전용 #셰어하우스,100 / 57만원 (1인실)
동그라미 쉐어하우스,논현2호점 중간방 베란다,#남성전용 #셰어하우스,50 / 42만원 (1인실)
더 하임 쉐어하우스,청담점 B02,#여성전용 #셰어하우스,200 / 45만원 (2인실)
우주,27호점 Room C,#여성전용 #셰어하우스,88 / 36만원 (3인실)
제이 쉐어하우스,세종대점 2인실A,#여성전용 #셰어하우스,42 / 42만원 (2인실)
동그라미 쉐어하우스,학동역점 학동 D룸,#남성전용 #셰어하우스,50 / 25만원 (1인실)
여기쯤 쉐어하우스,여기쯤 논현2호점 A룸,#여성전용 #셰어하우스,80 / 34만원 (4인실)
우리집,건대_세종대점 Room D,#여성전용 #셰어하우스,100 / 50만원 (2인실)
원더우먼 쉐어하우스,건대점 Room C,#여성전용 #셰어하우스,126 / 40만원 (2인실)
슬리퍼 쉐어하우스,대학동점 Room D,#여성전용 #셰어하우스,80 / 35만원 (2인실)
쉐어하우스 이층집,신림역 1호점 A룸,#여성전용 #셰어하우스,100 / 50만원 (2인실)
Calm&Mood,방배 23호점 Room409,#여성전용 #셰어하우스,200 / 47만원 (1인실)
단미하우스,까치산역점 Room A,#여성전용 #셰어하우스,58 / 29만원 (3인실)
율 하우스,서울대입구역점 Room A,#여성전용 #셰어하우스,108 / 54만원 (1인실)
home 601,home601_강남 a룸,#남성전용 #셰어하우스,1000 / 50만원 (4인실)
자몽 셰어하우스,군자점 303호,#여성전용 #셰어하우스,300 / 38만원 (1인실)
카페인하우스,사가정역점(여성전용층) Room B,#여성전용 #셰어하우스,76 / 38만원 (2인실)
품안의 새,나르샤_신림역 1인실,#여성전용 #셰어하우스,106 / 53만원 (1인실)
하품 (하우스 꿈을 품다),1호점 Kim,#여성전용 #셰어하우스,1000 / 59만원 (1인실)
우주,82호점 Room A,#남성전용 #셰어하우스,88 / 36만원 (1인실)
우주,84호점 Room E,#여성전용 #셰어하우스,106 / 45만원 (1인실)
MOVHOUSE,강남DELUXE점 405,#여성전용 #셰어하우스,150 / 57만원 (1인실)
팸하우스,건대 3호점 A ROOM,#여성전용 #셰어하우스,100 / 43만원 (1인실)
잠자리,낙성대역 : 20호점 Room D,#여성전용 #셰어하우스,78 / 39만원 (2인실)
휴애락,건대점 휴2nd_1인실,#남성전용 #셰어하우스,150 / 45만원 (1인실)
쉐어하우스 까사,사당역 2호점 ROOM D,#여성전용 #셰어하우스,100 / 47만원 (1인실)
팸하우스,건대 1호점 Room D,#여성전용 #셰어하우스,100 / 36만원 (2인실)
Singles ( 싱글즈 ),강남하우스 D룸,#여성전용 #셰어하우스,200 / 57만원 (2인실)
잠자리,구로디지털단지 : 12호점 Room D,#여성전용 #셰어하우스,74 / 37만원 (2인실)
바다유,7호 서울대입구역점 Room D,#여성전용 #셰어하우스,90 / 45만원 (1인실)
Sally's House,강남 서초파라곤 B룸,#여성전용 #셰어하우스,100 / 26만원 (4인실)
강남 베타쉐어하우스,강남역점 Room B,#여성전용 #셰어하우스,120 / 36만원 (3인실)
Sally's House,강남역점 Room B,#여성전용 #셰어하우스,100 / 35만원 (3인실)
복덕방,역삼1호점-선릉역 싱글룸-큰방,#여성전용 #셰어하우스,55 / 55만원 (1인실)
동화,구디점 3인실(넓은방 안 화장실 공동 화장대 있음),#여성전용 #셰어하우스,50 / 28만원 (3인실)
채움 쉐어하우스,교대/강남역 1호점 1인실,#여성전용 #셰어하우스,100 / 51만원 (1인실)
우주,43호점 Room E,#여성전용 #셰어하우스,92 / 38만원 (2인실)
동네친구,11호점 D 3room,#여성전용 #셰어하우스,300 / 39만원 (3인실)
팸하우스,사당점 Room B,#여성전용 #셰어하우스,100 / 48만원 (1인실)
잠자리,구로디지털단지 : 7호점 Room D,#여성전용 #셰어하우스,70 / 35만원 (2인실)
가가호호 쉐어하우스,관악점 심플 (2인실),#남성전용 #셰어하우스,100 / 43만원 (1인실)
자몽 셰어하우스,고척동점 203호,#여성전용 #셰어하우스,300 / 30만원 (1인실)
잠자리,신림 대학동 : 21호점 Room D,#남성전용 #셰어하우스,80 / 40만원 (1인실)
복덕방,강남세브란스점(뱅뱅사거리) 2층 작은 1인실,#여성전용 #셰어하우스,100 / 45만원 (1인실)
복덕방,대치동 선릉역점 2층 2인실,#여성전용 #셰어하우스,100 / 43만원 (2인실)
앤스테이블,대치 302-2호,#남성전용 #셰어하우스,4000 / 41만원 (1인실)
팸하우스,가산디지털단지점 ROOM C,#여성전용 #셰어하우스,100 / 35만원 (2인실)
라다팰리스,사회적주택(개봉동) 202호-2,#성별무관 #셰어하우스,300 / 22만원 (1인실)
Calm&Mood,온수 17호점 Room a103,#남성전용 #셰어하우스,100 / 36만원 (1인실)
바다,암사동집 : 1층 104호,#여성전용 #셰어하우스,100 / 35만원 (1인실)
바다,암사동집 : 2층 204호,#여성전용 #셰어하우스,100 / 35만원 (1인실)
모던 하우스,암사역점 301,#여성전용 #셰어하우스,200 / 35만원 (1인실)
모던 하우스,천호점 201호,#여성전용 #셰어하우스,200 / 37만원 (1인실)
원앤원하우스,강동역 2호점 Room B,#여성전용 #셰어하우스,200 / 31만원 (3인실)
Sharehouse Cine,오금역점 3인실 Trio,#여성전용 #셰어하우스,70 / 33만원 (3인실)
함께꿈꾸는마을,송파문정마을 ROOM B,#여성전용 #셰어하우스,78 / 39만원 (2인실)
쉐어하우스 cloud9,킨텍스 대화역점 ROOM 6,#여성전용 #셰어하우스,150 / 40만원 (1인실)
공감,부평시장역점 Room A,#여성전용 #셰어하우스,50 / 25만원 (2인실)
공감,부평 굴포천역 2호점 A룸 2인실,#여성전용 #셰어하우스,50 / 25만원 (2인실)
인타운 하우스,인천대점(도원역) Room 204,#여성전용 #셰어하우스,100 / 35만원 (1인실)
다락,홍오하우스 Room C,#성별무관 #셰어하우스,50 / 37만원 (1인실)
Calm&Mood,홍제 18호점 Room103,#여성전용 #셰어하우스,100 / 41만원 (1인실)
자몽 셰어하우스,연신내점 3층 Room 8,#여성전용 #셰어하우스,300 / 29만원 (1인실)
블랑 쉐어하우스,응암점 2인실B,#여성전용 #셰어하우스,80 / 34만원 (2인실)
Calm&Mood,DMC(구산) 22호점 Room202,#여성전용 #셰어하우스,200 / 40만원 (1인실)
플레몬 쉐어하우스,29호점(혜화대학로점) ROOM6,#성별무관 #셰어하우스,50 / 42만원 (1인실)
MK코하우징,연희점 2층 ROOM D,#여성전용 #셰어하우스,100 / 50만원 (1인실)
공상가,연세 1호점 2F / Room 202-2,#여성전용 #셰어하우스,114 / 57만원 (1인실)
공상가,연세 2호점 2F / Room 202-3,#여성전용 #셰어하우스,78 / 39만원 (1인실)
Calm&Mood,연희 1호점 Room104,#여성전용 #셰어하우스,100 / 35만원 (2인실)
플레몬 쉐어하우스,13호점 (연희동) 404호,#성별무관 #셰어하우스,50 / 32만원 (2인실)
우주,50호점 Room C,#남성전용 #셰어하우스,107 / 46만원 (1인실)
Calm&Mood,혜화 20호점 Room103,#여성전용 #셰어하우스,100 / 46만원 (1인실)
자몽 셰어하우스,대학로점 404호,#여성전용 #셰어하우스,300 / 45만원 (1인실)
에덴 하우스,홍대점 Blue Rm,#여성전용 #셰어하우스,60 / 30만원 (4인실)
굿밤하우스,홍대입구점 1층 트윈룸,#여성전용 #셰어하우스,10 / 45만원 (1인실)
우주,93호점 Room G,#여성전용 #셰어하우스,108 / 46만원 (1인실)
우주,95호점 Room A,#여성전용 #셰어하우스,102 / 43만원 (1인실)
커먼타운,센트럴 261 311,#여성전용 #셰어하우스,300 / 52만원 (1인실)
코방,길음역점 Room D,#여성전용 #셰어하우스,110 / 50만원 (1인실)
은행나무 쉐어하우스,홍대점 Room 103,#여성전용 #셰어하우스,0 / 40만원 (4인실)
Calm&Mood,숙대두번째 16호점 Room103,#여성전용 #셰어하우스,100 / 42만원 (1인실)
