제목,브랜드,방,가격
쉐어니도(sharenido),홍대신촌 30도 A ROOM,#남성전용 #셰어하우스,60 / 26만원 (4인실)
윤쉐어하우스,연남점 Room A,#여성전용 #셰어하우스,86 / 43만원 (2인실)
쉐어니도(sharenido),홍대신촌 9도 A ROOM,#남성전용 #셰어하우스,60 / 25만원 (4인실)
쉐어니도(sharenido),홍대신촌 10도 A ROOM,#여성전용 #셰어하우스,60 / 26만원 (4인실)
우주,93호점 Room A,#여성전용 #셰어하우스,102 / 43만원 (1인실)
우주,94호점 Room F,#남성전용 #셰어하우스,94 / 39만원 (1인실)
우주,95호점 Room B,#여성전용 #셰어하우스,102 / 43만원 (1인실)
동거동락,26호 연남동점 F룸,#여성전용 #셰어하우스,102 / 42만원 (2인실)
플레몬 쉐어하우스,1호점 (동교동) Room C,#성별무관 #셰어하우스,50 / 45만원 (1인실)
아띠 쉐어빌리지,무드하우스 싱글룸A,#여성전용 #셰어하우스,50 / 45만원 (1인실)
피츠 쉐어하우스,연남동 1호점 Room A,#여성전용 #셰어하우스,27 / 27만원 (3인실)
피츠 쉐어하우스,연남동 2호점 Room A,#여성전용 #셰어하우스,30 / 30만원 (3인실)
잠자리,성신여대 : 5호점 Room C,#여성전용 #셰어하우스,74 / 37만원 (2인실)
커먼타운,센트럴 261 309,#여성전용 #셰어하우스,300 / 58만원 (1인실)
애즈홈 쉐어하우스,2호점 Room C,#여성전용 #셰어하우스,80 / 40만원 (2인실)
잠자리,성신여대 : 9호점 Room A,#여성전용 #셰어하우스,94 / 47만원 (1인실)
우주,62호점 Room D,#여성전용 #셰어하우스,100 / 42만원 (2인실)
레피네하우스,명동1호점 Room B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
레피네하우스,명동3호점 Room C,#여성전용 #셰어하우스,70 / 37만원 (2인실)
홈스케치,성신여대점 Room B,#성별무관 #셰어하우스,90 / 45만원 (1인실)
아띠 쉐어빌리지,아이유하우스 서울역점 RoomC,#여성전용 #셰어하우스,50 / 35만원 (3인실)
우주,55호점 Room D,#여성전용 #셰어하우스,84 / 34만원 (2인실)
'봄이와 여름이' 쉐어하우스,연남점 Room C,#여성전용 #셰어하우스,87 / 39만원 (2인실)
