매물명,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
하피스 학동역점,빌라,3개,1개,3층,31평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 강남구 논현로124길 23-6
플레몬 쉐어하우스 28호점(이태원동),빌라,2개,1개,1층,13평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,서울 용산구 보광로 104
강남 베타쉐어하우스 강남역점,아파트,4개,2개,4층,25평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 강남구 테헤란로4길 32
셰어하우스 쉼 봉천역점,단독주택,3개,1개,3층,23평,중앙난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,서울 관악구 남부순환로 1728
동네친구 2호점,빌라,3개,1개,4층,25평,개별난방,없음,가능,불가능,불가능,O,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,서울특별시 광진구 능동로16길 48
륜하우스 양천향교점,아파트,3개,2개,,32평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,서울특별시 강서구 강서로56나길 110
바다 DMC : 2호,아파트,3개,2개,14층,23평,중앙난방,있음,알수없음,불가능,불가능,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,경기도 고양시 덕양구 향동동 274번지
Singles ( 싱글즈 ) 신사점,빌라,4개,3개,3층,52평,개별난방,없음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 서초구 강남대로95길 73
편안한家 쉐어하우스 자양점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 광진구 뚝섬로35길 16-3
홈스케치 합정2호점,빌라,3개,1개,1층,24평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 마포구 월드컵로8길 14-2
바다 연남동 : 2호,단독주택,5개,1개,2층,,중앙난방,없음,알수없음,불가능,불가능,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성미산로29길 32
하늘 상월곡점,아파트,4개,2개,3층,44평,개별난방,있음,가능,불가능,불가능,X,O,O,O,X,O,O,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울 성북구 장월로1길 28
지붕 뚝섬유원지역점,아파트,3개,2개,,,알수없음,있음,알수없음,불가능,불가능,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 광진구 능동로1길 15
팸하우스 양재점,빌라,3개,1개,,25평,개별난방,없음,불가능,불가능,불가능,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서초구 남부순환로356길 38-4
우주 57호점,아파트,4개,2개,10층,68평,개별난방,있음,알수없음,불가능,불가능,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 답십리동 524-1번지
동네친구 4호점,빌라,3개,2개,,24평,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 동일로26길 32
그린 엔틱 하우스,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,서울특별시 관악구 봉천로49길 12
오아시스 쉐어하우스 건대 2호점,아파트,3개,2개,1층,34평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 광진구 능동로 68
우주 66호점,빌라,3개,2개,,30평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 왕십리로8길 5
우주 33호점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로226길 28
STORYHOUSE 낙타점,빌라,3개,1개,1층,18평,개별난방,없음,불가능,불가능,별도협의,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,서울 서대문구 연세로2다길 41
