매물명,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
슬리퍼 쉐어하우스 건대점,빌라,3개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 광나루로17길 14
에이블하우스 관악 3호점,,3개,1개,1층,22평,개별난방,있음,,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 관악로13길 25
우주 37호점,빌라,5개,3개,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 상도로 340
Dream 쉐어하우스 영등포점,단독주택,4개,2개,1층,30평,개별난방,없음,,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,O,O,X,X,서울 영등포구 영신로13길 2
노란숲 혜화 성균관대점,빌라,3개,2개,,18평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,서울특별시 종로구 혜화로9길 37
링스하우스 가톨릭대점(역곡역점),빌라,3개,1개,2층,12평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,경기 부천시 지봉로33번길 12-8
공감 광흥창역점(서강),아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 창전로 26
미카사 하우스 1호 봉천,아파트,3개,2개,,33평,개별난방,있음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 관악구 청룡10길 45
잠자리 영등포구청 : 17호점,빌라,4개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,서울특별시 영등포구 당산로16길 16-2
홍마리오 하우스 서울역점,빌라,3개,1개,,16평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 용산구 만리재로24길 39
륜하우스 발산역점,아파트,3개,2개,9층,34평,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강서구 강서로50길 38
달램쉐어하우스 이대2호점,빌라,3개,1개,2층,14평,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울 마포구 대흥로30길 36-11
소담 쉐어하우스 효창 숙대입구점,빌라,3개,1개,5층,26평,개별난방,알수없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 효창원로62길 6
포레스트(FOR REST) 공덕역점,기타,5개,2개,3층,,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,서울특별시 마포구 새창로 28
하늘 광운대역점,아파트,3개,1개,1층,20평,개별난방,없음,가능,불가능,불가능,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,X,O,서울특별시 노원구 석계로 107
아띠 쉐어빌리지 컬러하우스 창천동점,빌라,3개,1개,,22평,개별난방,없음,가능,불가능,,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 서대문구 신촌로 31-9
잇츠하우스 이대점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서대문구 이화여대길 50-5
동네친구 7호점,빌라,3개,1개,,20평,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 광나루로20길 36-3
동네친구 1호점,빌라,3개,1개,3층,25평,개별난방,없음,가능,,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,서울특별시 광진구 능동로16길 48
둥지 1호점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 마포대로 246
쉐어하우스 소망 합정점,빌라,3개,1개,3층,8평,개별난방,없음,알수없음,불가능,불가능,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,서울특별시 마포구 합정동 407번지
팸하우스 매봉1호점,빌라,3개,1개,2층,0평,알수없음,없음,불가능,불가능,불가능,X,O,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울 강남구 논현로38길 38-3
No.1 쉐어하우스 삼성중앙역점,빌라,3개,1개,,6평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로69길 18
조이쉐어하우스 이대점,기타,3개,1개,12층,18평,알수없음,있음,,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,X,O,서울 서대문구 이화여대8길 62
우리별 포디하우스 한남별,빌라,1개,1개,1층,18평,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 용산구 한남대로20길 41
플레몬 쉐어하우스 22호점 (연남동),빌라,3개,1개,3층,21평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로50길 24
함께꿈꾸는마을 남산소월02,빌라,4개,2개,1층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 용산구 후암동 358-157번지
우리별 포디하우스 등촌별 3,기타,3개,1개,1층,17평,알수없음,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,서울 강서구 공항대로57길 22
커먼타운 성수 952,아파트,4개,2개,12층,41평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 성동구 성수이로 137
마주봄 쉐어하우스 합정5호점,빌라,4개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 마포구 월드컵로7길 65
바다 문래동집 2호,아파트,4개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로17길 24
자몽 셰어하우스 연신내점,기타,28개,8개,3층,44평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,서울특별시 은평구 통일로 915
양드레하우스 신논현2호점,기타,3개,1개,3층,20평,알수없음,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,서울 서초구 강남대로79길 36
복덕방 학동역1호점,빌라,3개,1개,,,알수없음,없음,불가능,불가능,불가능,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,서울특별시 강남구 학동로28길 30
휴애락 건대점,단독주택,17개,10개,,54평,개별난방,알수없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,서울특별시 광진구 능동로16길 56-12
자몽 셰어하우스 노량진점,단독주택,9개,5개,1층,82평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 동작구 장승배기로26길 35
Calm&Mood DMC(구산) 22호점,빌라,20개,10개,1층,00평,중앙난방,없음,,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,서울특별시 은평구 연서로11길 19-9
애즈홈 쉐어하우스 2호점,빌라,3개,1개,4층,,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 중구 소공로6가길 22
코코쉐어하우스 효창동점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 효창원로70길 34
모아네 쉐어하우스 마포구청역점,,3개,2개,,34평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,O,X,O,X,X,X,O,O,O,서울특별시 마포구 월드컵로 190
우주 89호점,아파트,5개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 서대문구 홍제동 294-1번지
동거동락 4호 신사점,빌라,4개,2개,4층,38평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,서울특별시 강남구 도산대로12길 14
보더리스하우스 홍대 디엠씨2,아파트,3개,2개,4층,36평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 은평구 응암동 123-34번지
MOVHOUSE 논현2호점,빌라,3개,1개,4층,,중앙난방,있음,,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,O,O,O,X,O,O,X,서울 서초구 신반포로47길 9-8
노란숲 혜화 국제관점,빌라,4개,2개,3층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,서울 종로구 성균관로7길 9-6
복덕방 세브란스사거리점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도곡로37길 46
CNT홈셰어링 1호점,기타,2개,1개,3층,21평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,O,X,X,O,X,X,X,O,X,O,서울특별시 서대문구 증가로 250
바다 외대 앞 집,아파트,4개,2개,,,개별난방,있음,불가능,불가능,불가능,O,O,X,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 한천로58길 47
벽난로 쉐어하우스 강남코엑스점,빌라,4개,2개,,60평,개별난방,없음,가능,불가능,불가능,O,O,X,O,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로109길 53
양드레하우스 군자1호점,빌라,3개,1개,,,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 광진구 천호대로115길 46
아띠 쉐어빌리지 앙디 하우스,빌라,3개,1개,2층,30평,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 새터산11길 37
아이엠하우스 홍대 2호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4-12
채움 쉐어하우스 강남역 2호점,아파트,4개,1개,,31평,중앙난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 서초구 서초동 1418번지
소집 3호점,,3개,2개,13층,24평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 월드컵로 190
'봄이와 여름이' 쉐어하우스 연남점,빌라,3개,2개,5층,22평,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O,O,X,서울 마포구 연남 로1길 73
복덕방 대치동 선릉역점,빌라,4개,2개,5층,,중앙난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,서울특별시 강남구 선릉로76길 9-14
쉐어하우스 이층집 신림역 1호점,빌라,4개,1개,2층,21평,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,O,O,X,서울특별시 관악구 남부순환로194길 6
다락 헤븐하우스,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,O,X,서울특별시 서대문구 통일로37길 30
자다 한성대_성대점,빌라,4개,2개,1층,37평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,X,O,서울특별시 성북구 동소문로10길 26-6
바다 연남동 : 1호,단독주택,5개,1개,1층,,알수없음,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,서울특별시 마포구 성미산로29길 32
자몽 셰어하우스 상도점,단독주택,7개,4개,1층,,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,서울특별시 동작구 국사봉6길 50
프리모 신촌이대점,아파트,4개,3개,,39평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,서울특별시 서대문구 신촌역로 10
홈트리 성산점,빌라,3개,1개,,,중앙난방,없음,알수없음,불가능,불가능,O,O,O,X,O,X,O,X,O,O,O,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 마포구 모래내로1길 20
우주 70호점,단독주택,5개,1개,,,개별난방,없음,불가능,불가능,불가능,O,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,서울특별시 서대문구 연희로14길 62-37
양드레하우스 강남그랜드점,빌라,10개,3개,3층,82평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 강남구 역삼로14길 13
원앤원하우스 월곡역동덕여대점,빌라,3개,2개,,34평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,서울특별시 성북구 하월곡동 95번지
복덕방 역삼2호점- 강남역,기타,3개,1개,,,알수없음,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 강남구 강남대로84길 24-8
바다유 2호 삼성중앙역점,빌라,3개,1개,,26평,개별난방,알수없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 강남구 삼성로107길 12-4
(남성전용)라임 스페이스 신논현점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,서울특별시 강남구 강남대로118길 22
에이블하우스 회기 6호점(시립대 근처),아파트,3개,2개,1층,32평,개별난방,있음,,불가능,불가능,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 전농로 192
플레몬 쉐어하우스 15호점 ( 이촌동),빌라,3개,2개,1층,30평,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 이촌로54길 13
수수하우스 (SUSUHOUSE) 연남점,빌라,4개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,O,X,X,X,O,X,O,O,O,O,X,O,서울특별시 마포구 성미산로16길 38
달램쉐어하우스 홍대입구3호점,기타,3개,1개,4층,21평,개별난방,있음,,불가능,불가능,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,O,O,O,X,O,X,X,X,O,X,O,O,O,O,X,O,서울 은평구 응암로13길 14
동거동락 25호 공덕점,기타,3개,2개,1층,11평,알수없음,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,서울 마포구 마포대로14길 34
플레몬 쉐어하우스 27호점(이태원동),빌라,2개,1개,1층,13평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 용산구 보광로 104
인타운 하우스 인천대점(도원역),빌라,10개,10개,,72평,중앙난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,인천광역시 동구 송림동 77번지
동네친구 9호점,빌라,3개,1개,,20평,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 아차산로34길 20-16
쉐어하우스 cloud9 킨텍스 대화역점,단독주택,7개,3개,1층,61평,개별난방,없음,가능,별도협,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,O,O,경기 고양시 일산서구 호수로838번길 74-74
럭키하우스(Lucky House) 3호 연남점,빌라,2개,1개,1층,12평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 마포구 동교로38길 32
륜하우스 마곡점,아파트,3개,2개,,24평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강서구 강서로56나길 110
웨이브 쉐어하우스 건대 1호점,단독주택,2개,1개,1층,12평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 광진구 광나루로22나길 12-4
T house 방배점,단독주택,6개,2개,1층,42평,개별난방,없음,불가능,불가능,별도협의,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,O,서울특별시 서초구 방배동 951-33번지
홈스케치 아현2호점,빌라,5개,2개,3층,61평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 북아현로6길 37-13
동그라미 쉐어하우스 논현2호점,빌라,3개,1개,,15평,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로1길 42-22
동그라미 쉐어하우스 청담 1호점,빌라,3개,1개,4층,16평,중앙난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도산대로87길 13
아리움 쉐어하우스 고대점,아파트,4개,2개,17층,39평,개별난방,있음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 동대문구 고산자로 534
도란도란하우스 신대방점,빌라,3개,1개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 관천로15길 77
엘리맘 쉐어하우스 이대점,단독주택,3개,1개,1층,20평,개별난방,없음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 마포구 고산16길 19
우주 62호점,아파트,4개,2개,,35평,개별난방,있음,알수없음,불가능,불가능,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,서울특별시 성북구 보문로29다길 31
에이블하우스 왕십리 3호점,아파트,3개,2개,1층,25평,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,서울특별시 성동구 왕십리로 280
홈스케치 숙대점,기타,5개,2개,1층,91평,알수없음,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,O,서울 용산구 청파로53길 8
동거동락 33A호점 명지대,단독주택,3개,1개,1층,23평,중앙난방,없음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 응암로 116-5
동거동락 28C 방배점,기타,8개,2개,1층,18평,알수없음,없음,불가능,불가능,불가능,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 서초구 방배로6길 18
바다 서강대앞집,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 백범로 82
쉐어필링스 숭실대점,빌라,2개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 상도로50길 11
쉐어하우스 F 합정점,빌라,3개,1개,1층,21평,개별난방,없음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 마포구 월드컵로5길 33-22
Sally's House 강남역점,아파트,3개,2개,8층,34평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 테헤란로4길 32
스테이영 쉐어하우스 홍대신촌점,기타,3개,1개,3층,21평,중앙난방,없음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 신촌로1길 42-16
애플트리 쉐어하우스 합정점,단독주택,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 월드컵로8길 37-6
공감 부평 굴포천역 2호점,,3개,2개,,24평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,인천광역시 부평구 장제로 145
home 601 home601_강남,단독주택,5개,6개,2층,76평,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,서울특별시 강남구 논현로105길 11-17
복덕방 강남세브란스점(뱅뱅사거리),빌라,7개,3개,5층,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도곡로17길 24-3
이너프하우스 혜화 6호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,서울특별시 종로구 성균관로 91
모니카 하우스 잠실2호점,빌라,3개,1개,2층,15평,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 송파구 백제고분로28길 27-21
다락 홍원하우스,빌라,4개,1개,3층,28평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 서대문구 홍제동 173-43번지
아띠 쉐어빌리지 무드하우스,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동선동4가 294-1번지
