매물명,성별전용,면적(㎡), 보증금(원) , 월세(원) ,인실(명),만실,건물형태,방(개),화장실(개),층,총층,전체면적(㎡),전체평수,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
슬리퍼 쉐어하우스 한성대점,여,16.5,"1,000,000","500,000",1,X,빌라,3,2,4,5,82.64,25,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 성북로12길 1107
슬리퍼 쉐어하우스 한성대점,여,13.2,"1,040,000","470,000",1,X,빌라,3,2,4,5,82.64,25,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 성북로12길 1107
슬리퍼 쉐어하우스 한성대점,여,23.14,"840,000","370,000",2,X,빌라,3,2,4,5,82.64,25,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 성북로12길 1107
슬리퍼 쉐어하우스 대학동점,여,16.5,"1,000,000","450,000",1,X,빌라,4,3,4,5,132.75,40,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,서울특별시 관악구 신림동길 25
슬리퍼 쉐어하우스 대학동점,여,13.2,"960,000","430,000",1,X,빌라,4,3,4,5,132.75,40,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,서울특별시 관악구 신림동길 25
슬리퍼 쉐어하우스 대학동점,여,9.9,"940,000","420,000",1,X,빌라,4,3,4,5,132.75,40,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,서울특별시 관악구 신림동길 25
슬리퍼 쉐어하우스 대학동점,여,23.14,"800,000","350,000",2,X,빌라,4,3,4,5,132.75,40,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,서울특별시 관악구 신림동길 25
쉐어반 논현역점,여,13.2,"1,140,000","570,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,13.2,"1,140,000","570,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,12.2,"1,100,000","550,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,12.2,"1,100,000","550,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,12.2,"1,100,000","550,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,12.2,"1,100,000","550,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,11.6,"1,060,000","530,000",1,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
쉐어반 논현역점,여,16.5,"900,000","420,000",2,X,빌라,8,3,5,6,198,60,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,서울특별시 서초구 사평대로55길 94
양드레하우스 군자1호점,여,15,"1,000,000","480,000",1,X,빌라,3,1,,,,,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 광진구 천호대로115길 46
양드레하우스 군자1호점,여,13,"1,000,000","400,000",2,X,빌라,3,1,,,,,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 광진구 천호대로115길 46
양드레하우스 군자1호점,여,27,"1,000,000","330,000",2,O,빌라,3,1,,,,,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 광진구 천호대로115길 46
쉐어하우스 리시안 사당역 3호(오픈),여,18,"1,000,000","430,000",2,O,빌라,4,2,,,,,개별난방,알수없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 동작구 사당동 4190158번지
쉐어하우스 리시안 사당역 3호(오픈),여,14,"1,000,000","520,000",1,O,빌라,4,2,,,,,개별난방,알수없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 동작구 사당동 4190158번지
