업체명,지점명,성별전용,보증금,월세,인실
Sally's House,강남 서초파라곤 C룸,여성전용,100만원,35만원,2인실
쉐어하우스 STAY,건대1호점,여성전용,100만원,33만원,2인실
Sharehouse Cine,더 홈 강남사당점,여성전용,80만원,38만원,3인실
강남 베타쉐어하우스,강남역점,여성전용,120만원,34만원,2인실
Sally's House,강남역점,여성전용,100만원,38만원,2인실
잠자리,서울대입구 : 1호점,남성전용,100만원,50만원,1인실
팸하우스,건대 2호점,여성전용,100만원,33만원,2인실
팸하우스,건대 3호점,여성전용,100만원,45만원,2인실
달달 쉐어하우스,청담점,여성전용,112만원,56만원,1인실
이너프하우스,사당점,여성전용,100만원,48만원,1인실
지붕,뚝섬유원지역점,여성전용,50만원,33만원,2인실
오아시스 쉐어하우스,건대 2호점,여성전용,150만원,53만원,2인실
앤즈하우스,서울대입구역1 Room C/D,여성전용,88만원,44만원,2인실
동거동락,23호 서울대입구역점,여성전용,102만원,43만원,2인실
설렘 쉐어하우스,신림역점,여성전용,98만원,49만원,1인실
잠자리,낙성대역 : 20호점,여성전용,94만원,47만원,1인실
행복하셰어,역삼점,여성전용,80만원,41만원,2인실
동네친구,1호점,여성전용,80만원,40만원,1인실
동네친구,5호점,여성전용,80만원,40만원,1인실
동네친구,2호점,여성전용,76만원,38만원,2인실
동네친구,3호점,여성전용,80만원,40만원,2인실
동거동락,6호 군자점,여성전용,91만원,42만원,2인실
No.1 쉐어하우스,삼성중앙역점,남성전용,100만원,50만원,1인실
쉐어하우스 리시안,사당역 2호 Room B,여성전용,100만원,50만원,1인실
젤리 쉐어하우스,역삼점,여성전용,600만원,39만원,1인실
휴애락,건대점,여성전용,150만원,48만원,2인실
복덕방,역삼2호점,여성전용,47만원,47만원,1인실
순 스테이,구로디지털단지 1호점,여성전용,70만원,30만원,2인실
순 스테이,구로디지털단지 2호점,여성전용,94만원,41만원,1인실
복덕방,역삼1호점,여성전용,100만원,50만원,1인실
쉐어하우스 루트,방배점,여성전용,90만원,43만원,2인실
동화,구디점,여성전용,100만원,44만원,1인실
방배웰빙쉐어하우스,사당역 2호점,여성전용,70만원,45만원,1인실
달달 쉐어하우스,삼성중앙역점,여성전용,100만원,50만원,1인실
피리하우스,낙성대점,여성전용,86만원,43만원,1인실
양드레하우스,교대점,여성전용,100만원,40만원,2인실
잠자리,구로디지털단지 : 13호점,남성전용,76만원,38만원,2인실
잇츠하우스,강남점,여성전용,100만원,45만원,2인실
바다유,2호 삼성중앙역점,여성전용,100만원,53만원,1인실
채움 쉐어하우스,교대/강남역 1호점,여성전용,100만원,41만원,2인실
채움 쉐어하우스,강남역 2호점,여성전용,100만원,41만원,2인실
우주,42호점,남성전용,86만원,35만원,2인실
우주,43호점,여성전용,90만원,37만원,2인실
바다,구디(구로디지털)집 B Room,여성전용,80만원,40만원,2인실
오아시스 쉐어하우스,낙성대역 3호점,여성전용,150만원,37만원,2인실
오아시스 쉐어하우스,낙성대역점,여성전용,150만원,37만원,2인실
오아시스 쉐어하우스,낙성대역 4호점,여성전용,150만원,36만원,2인실
동네친구,11호점,여성전용,300만원,55만원,1인실
청청,구디역점,남성전용,180만원,90만원,1인실
슈니하우스,삼성중앙역점,여성전용,110만원,55만원,1인실
팸하우스,사당점,여성전용,100만원,39만원,2인실
잠자리,구로디지털단지 : 7호점,여성전용,100만원,50만원,1인실
연남0123/사당0123,사당0123 1인실A,여성전용,90만원,43만원,1인실
동거동락,28B 방배점,여성전용,121만원,52만원,1인실
동거동락,28C 방배점,여성전용,121만원,52만원,1인실
동거동락,28A 방배점,남성전용,121만원,52만원,1인실
벽난로 쉐어하우스,강남코엑스점,여성전용,80만원,42만원,2인실
