업체명,지점명,성별전용,보증금,월세,인실
Calm&Mood,홍제 18호점,여성전용,100만원,43만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,40만원,1인실
플레몬 쉐어하우스,29호점,성별무관,50만원,49만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,30만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,108만원,54만원,1인실
공상가,연세 2호점,남성전용,108만원,54만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,42만원,1인실
Calm&Mood,혜화 20호점,여성전용,200만원,51만원,1인실
자몽 셰어하우스,대학로점,여성전용,300만원,40만원,1인실
우주,93호점,여성전용,100만원,42만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,50만원,2인실
Calm&Mood,숙대두번째 16호점,여성전용,100만원,41만원,1인실
팸하우스,충무로점,여성전용,100만원,46만원,1인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,48만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
동거동락,34호점,여성전용,130만원,55만원,1인실
워크 앤 리브,이태원 2호점,여성전용,114만원,49만원,1인실
자몽 셰어하우스,노량진점,여성전용,300만원,34만원,2인실
스펙트럼 하우스,신사점,여성전용,148만원,64만원,1인실
낭만,양천향교역점,여성전용,120만원,40만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
자몽 셰어하우스,상도점,여성전용,300만원,38만원,1인실
쉐어반,논현역점,여성전용,106만원,53만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,53만원,1인실
자몽 셰어하우스,군자점,여성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,남성전용,1000만원,47만원,6인실
우주,84호점,여성전용,110만원,47만원,1인실
MOVHOUSE,강남DELUXE점,여성전용,150만원,47만원,2인실
휴애락,건대점,남성전용,150만원,45만원,1인실
라다팰리스,사회적주택(개봉동) 302호-1,성별무관,300만원,29만원,1인실
Calm&Mood,온수 17호점,남성전용,100만원,36만원,1인실
모던 하우스,천호점,여성전용,200만원,39만원,1인실
쉐어하우스 cloud9,킨텍스 대화역점,성별무관,150만원,50만원,1인실
인타운 하우스,인천대점,여성전용,100만원,35만원,1인실
Calm&Mood,홍제 18호점,여성전용,100만원,38만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,29만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,45만원,1인실
플레몬 쉐어하우스,29호점,성별무관,50만원,34만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,25만원,2인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,116만원,58만원,1인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,52만원,1인실
Calm&Mood,혜화 20호점,여성전용,200만원,51만원,1인실
자몽 셰어하우스,대학로점,여성전용,300만원,40만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
팸하우스,충무로점,여성전용,100만원,39만원,2인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,48만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
동거동락,34호점,여성전용,130만원,55만원,1인실
워크 앤 리브,이태원 2호점,여성전용,124만원,54만원,1인실
자몽 셰어하우스,노량진점,여성전용,300만원,45만원,1인실
낭만,양천향교역점,여성전용,120만원,40만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
쉐어반,논현역점,여성전용,90만원,42만원,2인실
Calm&Mood,방배 23호점,여성전용,200만원,55만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,여성전용,1000만원,46만원,8인실
우주,84호점,여성전용,114만원,49만원,1인실
휴애락,건대점,남성전용,150만원,43만원,2인실
라다팰리스,사회적주택(개봉동) 302호-2,성별무관,300만원,22만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,45만원,1인실
모던 하우스,천호점,여성전용,200만원,40만원,1인실
인타운 하우스,인천대점,여성전용,100만원,30만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,43만원,1인실
플레몬 쉐어하우스,29호점,성별무관,50만원,39만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,30만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,108만원,54만원,1인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,52만원,1인실
Calm&Mood,혜화 20호점,여성전용,100만원,47만원,1인실
자몽 셰어하우스,대학로점,여성전용,300만원,40만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
팸하우스,충무로점,여성전용,100만원,49만원,1인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,35만원,2인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
동거동락,34호점,여성전용,127만원,53만원,1인실
워크 앤 리브,이태원 2호점,여성전용,124만원,54만원,1인실
자몽 셰어하우스,노량진점,여성전용,300만원,42만원,1인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,55만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,여성전용,1000만원,44만원,8인실
휴애락,건대점,여성전용,150만원,55만원,1인실
라다팰리스,사회적주택(개봉동) 401호-1,성별무관,300만원,31만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,35만원,1인실
모던 하우스,천호점,여성전용,200만원,39만원,1인실
인타운 하우스,인천대점,여성전용,100만원,35만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,42만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,25만원,2인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,78만원,39만원,1인실
공상가,연세 2호점,남성전용,108만원,54만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,52만원,1인실
자몽 셰어하우스,대학로점,여성전용,300만원,40만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
팸하우스,충무로점,여성전용,100만원,46만원,1인실
Calm&Mood,숙대세번째 19호점,여성전용,100만원,49만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
동거동락,34호점,여성전용,127만원,53만원,1인실
장안생활,장한평점,여성전용,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,47만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,여성전용,1000만원,64만원,1인실
휴애락,건대점,여성전용,150만원,51만원,1인실
라다팰리스,사회적주택(개봉동) 401호-2,성별무관,300만원,25만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,37만원,1인실
모던 하우스,천호점,여성전용,200만원,37만원,1인실
인타운 하우스,인천대점,여성전용,100만원,35만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,45만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,33만원,1인실
MK코하우징,연희점,여성전용,300만원,50만원,1인실
공상가,연세 1호점,여성전용,112만원,56만원,1인실
공상가,연세 2호점,남성전용,88만원,44만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,52만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
동거동락,34호점,여성전용,134만원,57만원,1인실
장안생활,장한평점,여성전용,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,군자점,여성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,남성전용,1000만원,59만원,1인실
휴애락,건대점,여성전용,150만원,53만원,1인실
라다팰리스,사회적주택(개봉동) 402호-1,성별무관,300만원,33만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,35만원,1인실
모던 하우스,천호점,여성전용,200만원,32만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,41만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,33만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,114만원,57만원,1인실
공상가,연세 2호점,남성전용,88만원,44만원,1인실
플레몬 쉐어하우스,13호점,성별무관,50만원,35만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,55만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,군자점,여성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,여성전용,1000만원,63만원,1인실
휴애락,건대점,여성전용,150만원,48만원,2인실
라다팰리스,사회적주택(개봉동) 402호-2,성별무관,300만원,33만원,1인실
Calm&Mood,온수 17호점,성별무관,500만원,44만원,1인실
모던 하우스,천호점,여성전용,200만원,39만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,38만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,30만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,108만원,54만원,1인실
공상가,연세 2호점,남성전용,108만원,54만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,9000만원,0만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
하품 (하우스 꿈을 품다),1호점,남성전용,1000만원,59만원,1인실
휴애락,건대점,여성전용,150만원,48만원,2인실
라다팰리스,사회적주택(개봉동) 501호-1,성별무관,300만원,29만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,37만원,1인실
모던 하우스,천호점,여성전용,200만원,39만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,38만원,1인실
자몽 셰어하우스,한성대성북점,여성전용,100만원,30만원,1인실
MK코하우징,연희점,남성전용,330만원,55만원,1인실
공상가,연세 1호점,남성전용,110만원,55만원,1인실
공상가,연세 2호점,여성전용,108만원,54만원,1인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,9000만원,0만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
휴애락,건대점,여성전용,150만원,48만원,2인실
라다팰리스,사회적주택(개봉동) 501호-2,성별무관,300만원,29만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,36만원,1인실
모던 하우스,천호점,여성전용,200만원,39만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,29만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,42만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 1호점,남성전용,110만원,55만원,1인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,51만원,1인실
휴애락,건대점,여성전용,150만원,48만원,2인실
라다팰리스,사회적주택(개봉동) 502호-1,성별무관,300만원,25만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,35만원,1인실
모던 하우스,천호점,여성전용,200만원,41만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,49만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 1호점,남성전용,110만원,55만원,1인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
휴애락,건대점,남성전용,150만원,43만원,2인실
라다팰리스,사회적주택(개봉동) 502호-2,성별무관,300만원,22만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,37만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,50만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 1호점,여성전용,78만원,39만원,2인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
MR. HOMES,홈즈스튜디오 원효로점,여성전용,60만원,60만원,1인실
장안생활,장한평점,여성전용,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
휴애락,건대점,여성전용,150만원,45만원,3인실
Calm&Mood,온수 17호점,여성전용,100만원,34만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,37만원,1인실
MK코하우징,연희점,여성전용,330만원,55만원,1인실
공상가,연세 1호점,여성전용,78만원,39만원,2인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
장안생활,장한평점,성별무관,8000만원,0만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,51만원,1인실
Calm&Mood,온수 17호점,여성전용,100만원,37만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,41만원,1인실
MK코하우징,연희점,여성전용,300만원,48만원,1인실
공상가,연세 1호점,여성전용,74만원,37만원,2인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,51만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,39만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,29만원,1인실
Calm&Mood,DMC(구산) 22호점,여성전용,500만원,45만원,1인실
MK코하우징,연희점,성별무관,50만원,50만원,1인실
공상가,연세 1호점,남성전용,80만원,40만원,2인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,35만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,29만원,1인실
MK코하우징,연희점,여성전용,0만원,50만원,1인실
공상가,연세 1호점,남성전용,80만원,40만원,2인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
스테이 펠릭스,충무로역점,성별무관,30만원,60만원,1인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,47만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,39만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 1호점,남성전용,80만원,40만원,2인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,51만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,37만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
Calm&Mood,온수 17호점,여성전용,300만원,33만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
MK코하우징,연희점,남성전용,100만원,50만원,1인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
Calm&Mood,온수 17호점,여성전용,200만원,33만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
MK코하우징,연희점,남성전용,300만원,50만원,1인실
공상가,연세 2호점,남성전용,88만원,44만원,2인실
장안생활,장한평점,성별무관,9000만원,0만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
Calm&Mood,온수 17호점,남성전용,100만원,33만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,29만원,1인실
MK코하우징,연희점,여성전용,100만원,50만원,1인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,8000만원,0만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
공상가,연세 2호점,남성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,48만원,1인실
자몽 셰어하우스,연신내점,여성전용,300만원,28만원,1인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,49만원,1인실
공상가,연세 2호점,여성전용,78만원,39만원,2인실
장안생활,장한평점,성별무관,1000만원,52만원,1인실
Calm&Mood,방배 23호점,여성전용,200만원,54만원,1인실
장안생활,장한평점,성별무관,1000만원,47만원,1인실
장안생활,장한평점,성별무관,9000만원,0만원,1인실
동거동락,29B 연대동문점,여성전용,123만원,51만원,1인실
동거동락,29A 연대동문점,여성전용,106만원,43만원,2인실
노란숲,혜화 성균관대점,여성전용,100만원,55만원,1인실
별빛하우스,201 증산동점,여성전용,80만원,40만원,1인실
별빛하우스,101 증산동점,여성전용,70만원,35만원,1인실
조이쉐어하우스,대학로점,여성전용,90만원,45만원,1인실
우주,71호점,여성전용,96만원,38만원,1인실
동거동락,31B호점,여성전용,116만원,50만원,1인실
마주봄 쉐어하우스,아현 1호점,여성전용,100만원,48만원,1인실
넘버원 쉐어하우스,이대점,여성전용,100만원,35만원,2인실
MAKE901S 쉐어하우스,이대역점,여성전용,90만원,33만원,3인실
토닥토닥 쉐어하우스,이대점,여성전용,100만원,43만원,2인실
아띠 쉐어빌리지,그림하우스 RoomA,여성전용,50만원,48만원,1인실
플레몬 쉐어하우스,21호점,여성전용,50만원,50만원,1인실
플레몬 쉐어하우스,3호점,성별무관,30만원,60만원,1인실
럭키하우스(Lucky House),2호 홍대점,여성전용,100만원,55만원,1인실
럭키하우스(Lucky House),3호 연남점,여성전용,40만원,40만원,1인실
아띠 쉐어빌리지,여신하우스 신촌점,성별무관,50만원,43만원,1인실
Joie de (쥬아드)셰어하우스,신촌점,남성전용,43만원,43만원,1인실
플레몬 쉐어하우스,18호점,성별무관,50만원,55만원,1인실
홍마리오 하우스,서울역점,여성전용,70만원,36만원,1인실
동거동락,22호 홍대입구역점,여성전용,116만원,54만원,1인실
레피네하우스,명동2호점,여성전용,70만원,35만원,2인실
애즈홈 쉐어하우스,3호점,여성전용,100만원,50만원,1인실
플레몬 쉐어하우스,7호점,남성전용,30만원,52만원,1인실
애즈홈 쉐어하우스,1호점,여성전용,100만원,50만원,1인실
The Knot(더 노트),홍대점,여성전용,90만원,48만원,1인실
아띠 쉐어빌리지,앙디 하우스 RoomB,남성전용,50만원,36만원,2인실
자다,브라운 서울역점,여성전용,78만원,39만원,3인실
포근해 쉐어하우스,홍대점,여성전용,35만원,34만원,2인실
바다,서강대앞집 Room A (2인실),여성전용,98만원,49만원,2인실
더원 쉐어하우스,공덕역점,여성전용,150만원,51만원,1인실
짱가,남산점,남성전용,84만원,42만원,1인실
쉐어하우스 F,마포구청역 1호점,여성전용,72만원,36만원,2인실
동거동락,14호 동국대점,여성전용,94만원,43만원,2인실
바다,합정동집 1호 Room C (1인실),여성전용,94만원,47만원,1인실
더꿈 쉐어하우스,동국대점,여성전용,80만원,39만원,1인실
동거동락,32B호 상수역점,여성전용,131만원,56만원,1인실
홈스케치,합정2호점,여성전용,70만원,35만원,2인실
남산 하우스,남산(해방촌)점,여성전용,100만원,33만원,1인실
Joie de (쥬아드)셰어하우스,망원 2호점,남성전용,50만원,37만원,2인실
소담 쉐어하우스,효창 숙대입구점,여성전용,55만원,50만원,1인실
마주봄 쉐어하우스,합정5호점,여성전용,100만원,45만원,1인실
마주공간 쉐어하우스,합정역점,여성전용,100만원,49만원,1인실
우주,101호점,여성전용,96만원,40만원,2인실
동거동락,20호 약수역점,여성전용,123만원,56만원,1인실
셰어하우스 허브,합정 2호점,여성전용,80만원,38만원,2인실
휘겔리 쉐어하우스,망원동점,여성전용,50만원,50만원,1인실
아리움 쉐어하우스,고대점,여성전용,76만원,38만원,1인실
가치살자 쉐어하우스,고려대역 1호점,여성전용,100만원,35만원,2인실
동거동락,7호 제기동점,남성전용,66만원,29만원,2인실
플레몬 쉐어하우스,28호점,성별무관,50만원,45만원,1인실
플레몬 쉐어하우스,27호점,성별무관,45만원,45만원,1인실
굿밤a+,청량리역점,여성전용,100만원,32만원,2인실
플레몬 쉐어하우스,15호점,여성전용,30만원,45만원,2인실
루나스테이 쉐어하우스,경희대점,여성전용,100만원,43만원,2인실
공간이음,경희대점,여성전용,100만원,45만원,1인실
메종드이문,이문 1호점,여성전용,150만원,45만원,2인실
메종드이문,메종드이문2호점,여성전용,0만원,0만원,1인실
양드레하우스,시립대점,여성전용,100만원,39만원,3인실
에이블하우스,회기 6호점,여성전용,300만원,30만원,4인실
동거동락,9호 중앙대점,여성전용,94만원,43만원,2인실
동거동락,2호 중앙대점,남성전용,102만원,48만원,1인실
쉐어하우스 리시안,중앙대 1호 Room C,여성전용,100만원,49만원,1인실
동거동락,18호 회기역점,여성전용,98만원,45만원,1인실
홈스케치,외대1호점,성별무관,76만원,38만원,2인실
도란도란,외대점,여성전용,100만원,45만원,1인실
에이블하우스,성수 1호점,남성전용,300만원,43만원,2인실
아띠 쉐어빌리지,바우 하우스 RoomC,성별무관,50만원,36만원,2인실
지붕,태릉입구역점,여성전용,50만원,29만원,4인실
바다,문래동집 1호 Room A (1인실),여성전용,114만원,57만원,1인실
지붕,태릉입구3호점,여성전용,50만원,36만원,2인실
셰어하우스 스토리,셰어 스토리 : 태릉역점,여성전용,100만원,39만원,1인실
쉐어하우스 티움,반포점,여성전용,110만원,55만원,1인실
동거동락,4호 신사점,여성전용,86만원,40만원,3인실
GROUND 쉐어하우스,강남 Room A,여성전용,100만원,39만원,4인실
더원 쉐어하우스,신도림점,여성전용,150만원,53만원,1인실
에이블하우스,성수 3호점,남성전용,300만원,43만원,2인실
쉐어하우스 미인,논현점,여성전용,80만원,40만원,2인실
우주,91호점,여성전용,114만원,49만원,1인실
달빛 쉐어하우스,학동역점,여성전용,40만원,33만원,2인실
양드레하우스,강남점,여성전용,100만원,49만원,1인실
팸하우스,세종대 4호점,여성전용,100만원,39만원,2인실
동거동락,19호 서울대입구점,여성전용,94만원,43만원,2인실
동거동락,21호 청담점,여성전용,115만원,52만원,1인실
쉐어하우스 STAY,건대입구점,여성전용,100만원,43만원,1인실
웨이브 쉐어하우스,건대 2호점,여성전용,42만원,42만원,1인실
우주,29호점,여성전용,92만원,38만원,2인실
우주,63호점,여성전용,114만원,49만원,1인실
The Twenties (20S),망우점,여성전용,56만원,28만원,2인실
이든 쉐어하우스,청담역점,여성전용,100만원,46만원,2인실
우주,31호점,여성전용,86만원,35만원,2인실
웨이브 쉐어하우스,건대 1호점,여성전용,37만원,37만원,2인실
동거동락,11호 서울대점,여성전용,103만원,48만원,1인실
쉐어하우스 리시안,사당역 3호(오픈) Room A,여성전용,100만원,43만원,2인실
양드레하우스,군자2호점,여성전용,100만원,33만원,2인실
동거동락,30호점,여성전용,121만원,51만원,1인실
양드레하우스,역삼점,여성전용,100만원,45만원,2인실
양드레하우스,강남그랜드점,여성전용,100만원,46만원,1인실
아띠 쉐어빌리지,핑크하우스 Room A,성별무관,50만원,48만원,1인실
마주봄 쉐어하우스,양재2호점,여성전용,100만원,28만원,3인실
AUTHOR’S HOUSE,AUTHORS HOUSE 2 4인실,여성전용,27만원,27만원,2인실
구름,백석역점,여성전용,50만원,40만원,1인실
양드레하우스,송파2호점,여성전용,100만원,53만원,1인실
양드레하우스,석촌점,여성전용,100만원,49만원,1인실
링스하우스,가톨릭대점,여성전용,100만원,36만원,2인실
아띠 쉐어빌리지,홍네하우스 홍제점,남성전용,50만원,39만원,1인실
동거동락,17호 경복궁역점,여성전용,111만원,51만원,1인실
달램쉐어하우스,홍대입구3호점,여성전용,50만원,33만원,1인실
동거동락,29B 연대동문점,여성전용,125만원,52만원,1인실
동거동락,29A 연대동문점,여성전용,122만원,51만원,1인실
노란숲,혜화 성균관대점,여성전용,150만원,48만원,2인실
별빛하우스,201 증산동점,여성전용,80만원,35만원,1인실
별빛하우스,101 증산동점,여성전용,70만원,35만원,1인실
별빛하우스,301 증산동점,여성전용,70만원,32만원,1인실
홈스케치,연희점,성별무관,90만원,45만원,1인실
노란숲,혜화 성대입구점,여성전용,150만원,48만원,1인실
홈스케치,아현1호점,여성전용,90만원,48만원,1인실
우주,71호점,여성전용,94만원,37만원,1인실
동거동락,31D호점,여성전용,114만원,49만원,1인실
동거동락,31B호점,여성전용,116만원,50만원,1인실
하우스로그,아현 1호점,여성전용,70만원,35만원,2인실
마주봄 쉐어하우스,아현 1호점,여성전용,100만원,38만원,2인실
조이쉐어하우스,이대점,여성전용,86만원,43만원,1인실
넘버원 쉐어하우스,이대점,여성전용,100만원,45만원,1인실
하우스로그,아현 2호점,여성전용,80만원,40만원,1인실
MAKE901S 쉐어하우스,이대역점,여성전용,120만원,42만원,2인실
토닥토닥 쉐어하우스,이대점,여성전용,100만원,53만원,1인실
아띠 쉐어빌리지,그림하우스 RoomB,여성전용,50만원,46만원,1인실
럭키하우스(Lucky House),럭키 신촌점,여성전용,100만원,50만원,1인실
플레몬 쉐어하우스,21호점,여성전용,50만원,52만원,1인실
플레몬 쉐어하우스,22호점,성별무관,50만원,45만원,1인실
홈스케치,이대2호점,성별무관,96만원,48만원,1인실
플레몬 쉐어하우스,3호점,성별무관,30만원,50만원,2인실
노란숲,혜화 낙산공원점,여성전용,100만원,48만원,1인실
럭키하우스(Lucky House),2호 홍대점,여성전용,94만원,47만원,1인실
디어(Dear) 쉐어하우스,홍대점,여성전용,52만원,48만원,1인실
스테이영 쉐어하우스,홍대신촌점,여성전용,32만원,32만원,2인실
럭키하우스(Lucky House),3호 연남점,여성전용,43만원,43만원,1인실
