매물명,성별전용,면적,보증금,월세,인실,만실,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
보더리스하우스 왕십리1,여성전용,15.8㎡,50만원,43만원,3인실,X,아파트,3개,2개,14층,110㎡,개별난방,있음,알수없음,,,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 청계천로 471
보더리스하우스 왕십리1,여성전용,10.3㎡,50만원,65만원,1인실,X,아파트,3개,2개,14층,110㎡,개별난방,있음,알수없음,,,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 청계천로 471
GROUND 쉐어하우스 홍대,여성전용,16.2㎡,80만원,39만원,4인실,O,아파트,3개,2개,,92㎡,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 홍익로 10
GROUND 쉐어하우스 홍대,여성전용,12.6㎡,100만원,48만원,2인실,O,아파트,3개,2개,,92㎡,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 홍익로 10
GROUND 쉐어하우스 홍대,여성전용,9.6㎡,100만원,44만원,2인실,O,아파트,3개,2개,,92㎡,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 홍익로 10
동네친구 9호점,여성전용,9.9㎡,104만원,52만원,1인실,X,빌라,3개,1개,,66.12㎡,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 아차산로34길 20-16
동네친구 9호점,여성전용,9.9㎡,96만원,48만원,1인실,X,빌라,3개,1개,,66.12㎡,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 아차산로34길 20-16
동네친구 9호점,여성전용,13.2㎡,84만원,42만원,2인실,X,빌라,3개,1개,,66.12㎡,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 아차산로34길 20-16
모아 문래역점,여성전용,16.5㎡,50만원,40만원,2인실,X,아파트,3개,2개,18층,84.75㎡,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로9나길 5
모아 문래역점,여성전용,13.2㎡,50만원,50만원,1인실,X,아파트,3개,2개,18층,84.75㎡,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로9나길 5
